"number","title","labels"
"48","[R20] Load Testing for Multi-Tenant Scenarios","priority:P2,area:reliability,area:testing,area:ops,phase:6-scale,status:needs-live-aws-evidence"
"47","[R15] Spark UI Proxy and History Server Integration","priority:P2,area:byoc-lite,area:docs,phase:6-scale,area:observability,status:needs-live-aws-evidence"
"46","[R07] Build Dagster Integration (dagster-sparkpilot)","priority:P1,area:testing,area:docs,phase:6-scale,area:integration,status:needs-live-aws-evidence"
"45","[R17] Objection Doc: Why Not EMR Serverless","priority:P0,area:docs,phase:5-sales,status:needs-live-aws-evidence"
"44","[R16] Objection Doc: Why Not DIY","priority:P0,area:docs,phase:5-sales,status:needs-live-aws-evidence"
"42","[R11] YuniKorn Queue Management for Multi-Tenant Scheduling","priority:P2,area:aws,area:byoc-lite,area:reliability,area:testing,phase:6-scale,status:needs-live-aws-evidence"
"41","[R08] Interactive Endpoints Support (EMR Studio)","priority:P1,area:aws,area:byoc-lite,area:testing,phase:4-expansion,status:needs-live-aws-evidence"
"39","[R13] Policy Engine for Run Guardrails","priority:P1,area:byoc-lite,area:testing,phase:3-enterprise,area:governance,status:needs-live-aws-evidence"
"38","[R09] Lake Formation FGAC Integration","priority:P1,area:aws,area:byoc-lite,area:testing,phase:3-enterprise,area:governance,status:needs-live-aws-evidence"
"37","[R19] End-to-End Test Environment","priority:P0,area:aws,area:testing,area:ops,phase:2-integration,status:needs-live-aws-evidence"
"36","[R06] Build Apache Airflow Provider Package","priority:P0,area:testing,area:docs,phase:2-integration,area:integration,status:needs-live-aws-evidence"
"35","[R12] RBAC and Multi-Tenancy for Self-Serve Access","priority:P0,area:byoc-lite,area:reliability,area:testing,phase:1-core,area:governance,status:needs-live-aws-evidence"
"34","[R05] Pod Template and Spark Config Golden Paths","priority:P0,area:aws,area:byoc-lite,area:reliability,area:docs,phase:1-core,status:needs-live-aws-evidence"
"33","[R03] Upgrade Cost Tracking to CUR-Aligned Chargeback","priority:P0,area:aws,area:testing,area:ops,phase:1-core,area:finops,status:needs-live-aws-evidence"
"30","Full BYOC 1G: Real-AWS full-BYOC validation matrix and reproducible smoke flow","priority:P2,area:byoc-full,status:paused,status:needs-live-aws-evidence"
"29","Full BYOC 1F: Security hardening and full-BYOC permission baseline","priority:P2,area:byoc-full,status:paused,status:needs-live-aws-evidence"
"28","Full BYOC 1E: Failure classification, compensation, and cleanup workflow","priority:P2,area:byoc-full,status:paused,status:needs-live-aws-evidence"
"27","Full BYOC 1D: Implement provisioning_eks and provisioning_emr stages","priority:P2,area:byoc-full,status:paused,status:needs-live-aws-evidence"
"26","Full BYOC 1C: Implement provisioning_network stage","priority:P2,area:byoc-full,status:paused,status:needs-live-aws-evidence"
"25","Full BYOC 1B: Terraform orchestrator and operation checkpointing","status:needs-live-aws-evidence"
"23","UI job-create flow (Issue #8B)","priority:P1,area:ui,status:needs-live-aws-evidence"
"22","UI env-create flow (Issue #8A)","priority:P1,area:ui,status:needs-live-aws-evidence"
"21","BYOC-Lite OIDC missing detection and remediation (detect+instruct default)","priority:P1,area:aws,area:byoc-lite,status:needs-live-aws-evidence"
"20","BYOC-Lite execution-role trust policy automation with AccessDenied remediation","priority:P1,area:aws,area:byoc-lite,status:needs-live-aws-evidence"
"19","BYOC-Lite namespace bootstrap and collision detection","priority:P1,area:aws,area:byoc-lite,status:needs-live-aws-evidence"
"18","BYOC-Lite prerequisite detection checklist and remediation output","priority:P1,area:aws,area:byoc-lite,status:needs-live-aws-evidence"
"17","Full BYOC design doc and decision record (Issue #1A)","priority:P0,area:aws,area:byoc-full,status:needs-live-aws-evidence"
"15","Establish production deployment baseline for API/workers/database/observability","priority:P2,area:ops,type:epic,status:needs-live-aws-evidence"
"13","Test and harden cancellation and retry behavior under transient AWS failures","priority:P1,area:byoc-lite,area:reliability,area:testing,status:needs-live-aws-evidence"
"12","Add support and validation for long-running Structured Streaming jobs","priority:P1,area:byoc-lite,area:reliability,area:testing,status:needs-live-aws-evidence"
"11","Validate private EKS networking scenarios (private endpoint, private subnets, NAT)","priority:P1,area:aws,area:byoc-lite,area:testing,status:needs-live-aws-evidence"
"10","[R10] Karpenter Integration for Dynamic Spot Node Provisioning","priority:P1,area:aws,area:byoc-lite,area:testing,phase:4-expansion,status:needs-live-aws-evidence"
"7","UI: differentiate BYOC vs BYOC-Lite on environment detail and lists","priority:P1,area:ui,status:needs-live-aws-evidence"
"6","Narrow run-logs ClientError handling to ResourceNotFound and surface other AWS errors","priority:P1,area:aws,area:reliability,status:needs-live-aws-evidence"
"4","Remove placeholder default for emr_execution_role_arn and require explicit configuration","priority:P0,area:aws,area:reliability,status:needs-live-aws-evidence"
"3","Add preflight IAM/IRSA validation before StartJobRun","priority:P0,area:aws,area:byoc-lite,area:reliability,status:needs-live-aws-evidence"
"1","Full BYOC design spike: architecture, tool selection, and failure model","priority:P0,area:aws,area:byoc-full,type:epic,status:needs-live-aws-evidence"
